"区段","边界行","候选排名","当前累计伤害差","预计最终伤害差","参考后缀合法","参考后缀完成行","参考后缀总行","首次失败原因","战意差","龙驭差","马上状态变化","流血层数差","流血品质差","冷却剩余毫秒差","增益剩余毫秒差","充能差"
"thunder-1-drift","3","1","0","0","true","145","145","","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-1-drift","3","2","2656861.259100549","2656861.259100914","false","11","145","charge尚有152.72帧冷却","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":22937.5,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-1-drift","3","3","14404412.588504352","-622455.1512613297","false","1","145","龙牙需要1点战意，当前只有0点","-4","-5","true","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":-49937.5}","{""thunder"":-1155,""orange"":-5937.5,""ride"":-14345,""breakArmy"":1217.5,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":-1155},""ride"":{""ready"":1,""nextRechargeMs"":-32782.5}}"
"thunder-2-drift","21","1","11412679.675165296","11412679.675165176","false","0","127","龙牙需要1点战意，当前只有0点","-3","-5","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":13260,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":-4347.5}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-2-drift","21","2","11412679.675165296","11412679.675165176","false","0","127","龙牙需要1点战意，当前只有0点","-3","-4","true","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":13260,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":-4347.5}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-2-drift","21","3","11412679.675165296","11412679.675165176","false","0","127","龙牙需要1点战意，当前只有0点","-3","-1","true","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":13260,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":-4347.5}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-3-drift","39","1","27822391.79376006","27822391.793759823","false","0","109","龙牙需要1点战意，当前只有0点","-4","-18","false","0","0","{""destroy"":-3347.5,""dragonRoar"":0,""charge"":2302.5,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":3130}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-3-drift","39","2","27822391.79376006","27822391.793759823","false","0","109","龙牙需要1点战意，当前只有0点","-4","-17","true","0","0","{""destroy"":-3347.5,""dragonRoar"":0,""charge"":2302.5,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":3130}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-3-drift","39","3","27822391.79376006","27822391.793759823","false","0","109","龙牙需要1点战意，当前只有0点","-4","-16","true","0","0","{""destroy"":-3347.5,""dragonRoar"":0,""charge"":2302.5,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":3130}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-4-drift","60","1","28941144.379262924","28941144.379262924","false","0","88","龙牙需要1点战意，当前只有0点","-4","-12","false","0","0","{""destroy"":-1217.5,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-4-drift","60","2","26141856.575371504","26141856.575371742","false","0","88","龙牙需要1点战意，当前只有0点","-4","-10","true","0","0","{""destroy"":-1217.5,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-4-drift","60","3","23226227.668387175","23226227.668387413","false","0","88","龙牙需要1点战意，当前只有0点","-4","-8","true","0","0","{""destroy"":-1217.5,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":-2372.5,""orange"":0,""ride"":-13127.5,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":1,""nextRechargeMs"":0}}"
"thunder-5-drift","81","1","14587707.706466913","12616641.518969536","false","6","67","龙牙需要1点战意，当前只有0点","-1","-3","true","0","0","{""destroy"":2130,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":-1217.5,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":-4347.5}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
