行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
1,龙牙,0,0,1.2175,5,5,2,0,1,0,0,0,0,0,0,0,,[],8150747.729742905,"{""autoAttack"":200684.40871821836,""dragonFang"":4526273.727421053,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696}"
2,灭·正常,1.2175,1.2175,2.435,2,2,5,1,1,0,0,0,0,0,1,2,normal,[],4991784.960895907,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
3,任驰骋→雷+CW,2.435,2.435,3.6525,5,5,5,1,7,0,1,0,0,0,1,2,,"[{""action"":""thunder"",""seconds"":3.59,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":7,""chargeReadyAtStart"":true},{""action"":""orange"",""seconds"":3.59,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",771884.2476176711,"{""bleedTick"":571199.8388994528,""autoAttack"":200684.40871821836}"
4,龙牙,3.6525,3.6525,4.87,5,5,5,7,6,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":1123466.1548680456}"
5,龙牙,4.87,4.87,6.0875,5,5,5,6,5,1,1,1,1,1,1,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
6,龙牙,6.0875,6.0875,7.305,5,5,5,5,4,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
7,龙牙,7.305,7.305,8.5225,5,5,5,4,3,1,1,1,1,1,1,2,,[],29832864.5312048,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456}"
8,龙牙,8.5225,8.5225,9.74,5,5,5,3,2,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":1123466.1548680456}"
9,龙牙,9.74,9.74,10.9575,5,5,4,2,1,1,1,1,0,1,1,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
10,龙牙,10.9575,10.9575,12.175,4,4,3,1,0,1,1,1,0,1,1,2,,[],22991722.189096496,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
11,龙牙,12.175,12.175,13.3925,3,3,2,0,0,1,1,1,0,1,1,2,,[],18753598.84201994,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
12,灭·正常,13.3925,13.3925,14.61,2,2,5,0,0,1,1,1,0,0,2,2,normal,[],11777921.948453154,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
13,龙牙,14.61,14.61,15.8275,5,5,4,0,0,1,1,1,0,1,2,2,,[],18455422.627924036,"{""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
14,龙牙,15.8275,15.8275,17.045,4,4,3,0,0,1,1,1,0,1,2,2,,[],19931743.31920218,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091}"
15,断魂刺→龙牙,17.045,17.045,18.2625,3,5,4,0,0,1,1,1,0,1,2,2,,"[{""action"":""charge"",""seconds"":17.045,""rageBefore"":3,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",23359216.196760677,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
16,龙牙,18.2625,18.2625,19.48,4,4,3,0,0,1,1,1,0,0,2,2,,[],16910901.183751542,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
17,龙牙,19.48,19.48,20.6975,3,3,2,0,0,1,1,1,0,0,2,2,,[],14728579.152352858,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
18,龙牙,20.6975,20.6975,21.915,2,2,1,0,0,1,1,1,0,0,2,2,,[],16222819.316041209,"{""dragonFang"":6476364.42679383,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
19,灭·正常,21.915,21.915,23.1325,1,1,4,0,0,1,1,0,0,0,2,2,normal,[],5975842.641667494,"{""destroy"":1863380.6496111874,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1788150.298856523,""destroyStrain"":350256.68238678254,""bleedTick"":1142399.6777989056,""autoAttack"":200684.40871821836}"
20,下马→任驰骋→雷,23.1325,23.1325,24.35,4,4,4,0,6,1,1,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":23.1325,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""refresh-ride"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null},{""action"":""thunder"",""seconds"":24.2875,""rageBefore"":4,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":6,""chargeReadyAtStart"":true}]",1393823.3368524497,"{""bleedTick"":1393823.3368524497}"
21,龙牙,24.35,24.35,25.5675,4,4,3,6,5,1,1,1,0,1,2,2,,[],21868256.03422845,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
