anchorId,type,ordinal,rowNumber,placement,seconds,rageAtRowStart,dragonRideAtRowStart,mountedAtRowStart,thunderChargesAtRowStart,rideChargesAtRowStart,destroyReadyInSeconds,dragonRoarReadyInSeconds,chargeReadyInSeconds,orangeReadyInSeconds,thunderBuffRemainingSeconds,orangeBuffRemainingSeconds,rideBuffRemainingSeconds,previousSameTypeGapSeconds,nextSameTypeGapSeconds,reason
ride-1,ride,1,3,primary,2.435,2,1,0,2,2,0,0,0,0,0,0,0,,20.6975,
thunder-2,thunder,1,3,tail,3.59,2,1,0,2,2,0,0,0,0,0,0,0,,20.6975,
orange-3,orange,1,3,tail,3.59,2,1,0,2,2,0,0,0,0,0,0,0,,52.415,
dismount-4,dismount,1,20,prefix,23.1325,4,0,1,1,1,0,0,16.9125,30.4575,0,0,0,,3.6525,refresh-ride
ride-5,ride,2,20,primary,23.1325,4,0,1,1,1,0,0,16.9125,30.4575,0,0,0,20.6975,21.915,
thunder-6,thunder,2,20,tail,24.2875,4,0,1,1,1,0,0,16.9125,30.4575,0,0,0,20.6975,21.915,
dismount-7,dismount,2,23,prefix,26.785,2,4,1,0,0,0,0,0,26.805,15.5025,0,11.91,3.6525,2.435,free-search
dismount-8,dismount,3,25,prefix,29.22,3,6,0,0,0,0,0,20.565,24.37,13.0675,0,9.475,2.435,34.09,free-search
ride-9,ride,3,38,primary,45.0475,5,15,0,1,1,5.7825,0,4.7375,8.5425,0,0,0,21.915,25.5675,
thunder-10,thunder,3,38,tail,46.2025,5,15,0,1,1,5.7825,0,4.7375,8.5425,0,0,0,21.915,25.5675,
orange-11,orange,2,47,prefix,56.005,3,14,1,0,0,0,0,16.9125,0,8.1975,0,4.605,52.415,51.135,
dismount-12,dismount,4,53,prefix,63.31,4,8,1,0,0,0,0,9.6075,42.695,0.8925,0,0,34.09,35.3075,free-search
ride-13,ride,4,59,primary,70.615,5,11,0,1,1,5.7825,0.9125,2.3025,35.39,0,0,0,25.5675,56.005,
thunder-14,thunder,4,59,tail,71.77,5,11,0,1,1,5.7825,0.9125,2.3025,35.39,0,0,0,25.5675,24.4125,
thunder-15,thunder,5,80,prefix,96.1825,2,2,1,1,0,4.565,0.9125,2.3025,9.8225,0,0,0,24.4125,31.5925,
dismount-16,dismount,5,82,prefix,98.6175,0,0,1,0,0,2.13,0,0,7.3875,15.565,0,0,35.3075,46.265,free-search
orange-17,orange,3,89,prefix,107.14,0,6,0,0,1,0,0,14.4775,0,7.0425,0,0,51.135,51.135,
ride-18,ride,5,105,primary,126.62,5,16,0,1,1,0,3.3475,0,30.52,0,0,0,56.005,19.48,
thunder-19,thunder,6,105,tail,127.775,5,16,0,1,1,0,3.3475,0,30.52,0,0,0,31.5925,26.8475,
dismount-20,dismount,6,120,prefix,144.8825,2,10,1,0,1,0,0,14.4775,12.2575,0.8925,0,0,46.265,28.0025,free-search
ride-21,ride,6,121,primary,146.1,1,11,0,0,1,0,0,13.26,11.04,0,0,0,19.48,26.785,
thunder-22,thunder,7,128,prefix,154.6225,3,14,1,1,0,5.7825,3.3475,15.6325,2.5175,0,0,7.04,26.8475,,
orange-23,orange,4,131,prefix,158.275,0,11,1,0,0,2.13,0,11.98,0,14.3475,0,3.3875,51.135,,
dismount-24,dismount,7,143,prefix,172.885,3,0,1,0,1,0,0,20.565,35.39,0,0,0,28.0025,,refresh-ride
ride-25,ride,7,143,primary,172.885,3,0,1,0,1,0,0,20.565,35.39,0,0,0,26.785,,
