行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
1,灭·正常,destroy,0,0,1.2175,5,5,5,0,0,0,0,0,0,0,1,2,normal,[],4838944.772721733,"{""autoAttack"":200684.40871821836,""destroy"":2188173.4534220677,""destroyPoLouLan"":2099830.2281946638,""destroyStrain"":350256.68238678254}"
2,龙牙→突,dragonFang,1.2175,1.2175,2.435,5,5,2,0,1,0,0,0,0,0,1,2,,"[{""action"":""dash"",""seconds"":2.3725,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null}]",10857331.056174811,"{""dragonFang"":4526273.727421053,""dragonBlood"":1441078.46825112,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1892912.7728876304,""dragonFangDivine"":55352.95272248696,""autoAttack"":200684.40871821836,""bleedTick"":571199.8388994528,""dash"":63334.09498545909}"
3,任驰骋→雷+CW,ride,2.435,2.435,3.6525,2,2,5,1,7,0,1,0,0,0,1,2,,"[{""action"":""thunder"",""seconds"":3.59,""rageBefore"":2,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":7,""chargeReadyAtStart"":true,""breakArmyWindow"":null,""activeUntilSeconds"":21.59},{""action"":""orange"",""seconds"":3.59,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",897596.0771444432,"{""autoAttack"":200684.40871821836,""bleedTick"":696911.6684262248}"
4,龙牙,dragonFang,3.6525,3.6525,4.87,5,5,5,7,6,1,1,1,1,1,1,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
5,龙牙,dragonFang,4.87,4.87,6.0875,5,5,5,6,5,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
6,龙牙,dragonFang,6.0875,6.0875,7.305,5,5,5,5,4,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
7,龙牙,dragonFang,7.305,7.305,8.5225,5,5,5,4,3,1,1,1,1,1,1,2,,[],29832864.5312048,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456}"
8,龙牙,dragonFang,8.5225,8.5225,9.74,5,5,5,3,2,1,1,1,1,1,1,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
9,龙牙,dragonFang,9.74,9.74,10.9575,5,5,4,2,1,1,1,1,0,1,1,2,,[],23545629.60483606,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
10,龙牙,dragonFang,10.9575,10.9575,12.175,4,4,3,1,0,1,1,1,0,1,1,2,,[],22991722.189096496,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
