"区段","边界行","候选排名","当前累计伤害差","预计最终伤害差","参考后缀合法","参考后缀完成行","参考后缀总行","首次失败原因","战意差","龙驭差","马上状态变化","流血层数差","流血品质差","冷却剩余毫秒差","增益剩余毫秒差","充能差"
"thunder-1-to-2","20","1","0","0","true","129","129","","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-1-to-2","20","2","0","0","true","129","129","","0","0","true","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-1-to-2","20","3","0","0","true","129","129","","0","1","true","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-2-to-3","38","1","0","0","true","111","111","","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-2-to-3","38","2","15465140.443385601","15465140.443385601","false","0","111","马上无法施展任驰骋，需要先下马","-5","-8","true","0","0","{""destroy"":-5782.5,""dragonRoar"":0,""charge"":16982.5,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":13127.5,""breakArmy"":2435,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":-1,""nextRechargeMs"":0}}"
"thunder-2-to-3","38","3","13167158.686993003","13167158.686993122","false","0","111","任驰骋充能不足","-5","-6","false","0","0","{""destroy"":-5782.5,""dragonRoar"":0,""charge"":16982.5,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":13127.5,""breakArmy"":2435,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":-1,""nextRechargeMs"":0}}"
"thunder-3-to-4","59","1","0","0","true","90","90","","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-3-to-4","59","2","9699747.582889557","9699747.582889557","false","0","90","马上无法施展任驰骋，需要先下马","-5","-5","true","0","0","{""destroy"":-1217.5,""dragonRoar"":-912.5,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":1217.5,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-3-to-4","59","3","4075414.4303536415","-8991798.818121433","true","90","90","","0","-4","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
"thunder-4-to-5","80","1","0","0","true","69","69","","0","0","false","0","0","{""destroy"":0,""dragonRoar"":0,""charge"":0,""orange"":0}","{""thunder"":0,""orange"":0,""ride"":0,""breakArmy"":0,""poLouLan"":0}","{""thunder"":{""ready"":0,""nextRechargeMs"":0},""ride"":{""ready"":0,""nextRechargeMs"":0}}"
