"前缀种子","后缀种子","交叉雷序号","交叉行","边界状态距离","边界状态完全一致","机制合法","新结构","首次失败行","首次失败原因","核心伤害","相对最高种子核心伤害差"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","2","20","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","3","38","32","false","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","4","59","32","false","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","5","80","0","true","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","6","105","0","true","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","2:lianying-free-fixed-180s-segments-fast-guided-pass2","7","128","0","true","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","2","20","0","true","true","true","","","2516458412.2845373","-7144761.105234146"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","3","38","64","false","true","true","","","2522015931.224985","-1587242.1647863388"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","4","59","64","false","true","true","","","2522884137.242195","-719036.1475763321"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","5","80","136.88","false","true","true","","","2523496398.5176363","-106774.87213516235"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","6","105","0","true","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","3:lianying-free-fixed-180s-best-continued-fast","7","128","0","true","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","2","20","6.52","false","true","true","","","2512921812.8009906","-10681360.58878088"
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","3","38","70.52","false","true","true","","","2518479331.7414384","-5123841.648333073"
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","4","59","70.52","false","true","true","","","2519347537.7586484","-4255635.631123066"
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","5","80","143.4","false","false","true","87","destroy尚有34.08帧冷却","",""
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","6","105","69.84","false","true","false","","","2523603173.3897715","0"
"1:lianying-free-fixed-180s-segments-balanced","4:lianying-free-fixed-180s-best","7","128","30.880000000000003","false","true","false","","","2523603173.3897715","0"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","2","20","0","true","true","false","","","2523603173.3897715","0"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","3","38","32","false","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","4","59","32","false","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","5","80","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","6","105","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","1:lianying-free-fixed-180s-segments-balanced","7","128","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","2","20","0","true","true","true","","","2516458412.2845373","-7144761.105234146"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","3","38","32","false","true","true","","","2519891529.486514","-3711643.90325737"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","4","59","32","false","true","true","","","2520759735.503724","-2843437.8860473633"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","5","80","136.88","false","true","true","","","2521371996.7791653","-2231176.6106061935"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","6","105","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","3:lianying-free-fixed-180s-best-continued-fast","7","128","0","true","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","2","20","6.52","false","true","true","","","2512921812.8009906","-10681360.58878088"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","3","38","38.519999999999996","false","true","true","","","2516354930.002968","-7248243.386803627"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","4","59","38.519999999999996","false","true","true","","","2517223136.020178","-6380037.36959362"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","5","80","143.4","false","false","true","87","destroy尚有34.08帧冷却","",""
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","6","105","69.84","false","true","false","","","2521478771.651301","-2124401.7384705544"
"2:lianying-free-fixed-180s-segments-fast-guided-pass2","4:lianying-free-fixed-180s-best","7","128","30.880000000000003","false","true","false","","","2521478771.651301","-2124401.7384705544"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","2","20","0","true","true","true","","","2522165408.6334333","-1437764.7563381195"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","3","38","64","false","true","true","","","2516607889.6929855","-6995283.696785927"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","4","59","64","false","true","true","","","2515739683.6757755","-7863489.7139959335"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","5","80","136.88","false","true","true","","","2514821291.762614","-8781881.627157688"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","6","105","0","true","true","false","","","2515020647.528199","-8582525.861572266"
"3:lianying-free-fixed-180s-best-continued-fast","1:lianying-free-fixed-180s-segments-balanced","7","128","0","true","true","false","","","2515020647.528199","-8582525.861572266"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","2","20","0","true","true","true","","","2520041006.8949623","-3562166.4948091507"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","3","38","32","false","true","true","","","2516607889.6929855","-6995283.696785927"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","4","59","32","false","true","true","","","2515739683.6757755","-7863489.7139959335"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","5","80","136.88","false","true","true","","","2514821291.762614","-8781881.627157688"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","6","105","0","true","true","false","","","2515020647.528199","-8582525.861572266"
"3:lianying-free-fixed-180s-best-continued-fast","2:lianying-free-fixed-180s-segments-fast-guided-pass2","7","128","0","true","true","false","","","2515020647.528199","-8582525.861572266"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","2","20","6.52","false","true","true","","","2511484048.044652","-12119125.345119476"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","3","38","6.52","false","true","true","","","2511484048.044652","-12119125.345119476"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","4","59","6.52","false","true","true","","","2511484048.044652","-12119125.345119476"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","5","80","6.52","false","true","true","","","2511484048.044652","-12119125.345119476"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","6","105","69.84","false","true","false","","","2515020647.528199","-8582525.861572266"
"3:lianying-free-fixed-180s-best-continued-fast","4:lianying-free-fixed-180s-best","7","128","30.880000000000003","false","true","false","","","2515020647.528199","-8582525.861572266"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","2","20","6.52","false","true","true","","","2520623436.7397428","-2979736.6500287056"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","3","38","70.52","false","true","true","","","2515065917.7992954","-8537255.590476036"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","4","59","70.52","false","true","true","","","2514197711.782085","-9405461.60768652"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","5","80","143.4","false","true","true","","","2513279319.8689227","-10323853.520848751"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","6","105","69.84","false","true","false","","","2510615116.262174","-12988057.127597332"
"4:lianying-free-fixed-180s-best","1:lianying-free-fixed-180s-segments-balanced","7","128","30.880000000000003","false","true","false","","","2510615116.262174","-12988057.127597332"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","2","20","6.52","false","true","true","","","2518499035.0012717","-5104138.388499737"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","3","38","38.519999999999996","false","true","true","","","2515065917.7992954","-8537255.590476036"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","4","59","38.519999999999996","false","true","true","","","2514197711.782085","-9405461.60768652"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","5","80","143.4","false","true","true","","","2513279319.8689227","-10323853.520848751"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","6","105","69.84","false","true","false","","","2510615116.262174","-12988057.127597332"
"4:lianying-free-fixed-180s-best","2:lianying-free-fixed-180s-segments-fast-guided-pass2","7","128","30.880000000000003","false","true","false","","","2510615116.262174","-12988057.127597332"
"4:lianying-free-fixed-180s-best","3:lianying-free-fixed-180s-best-continued-fast","2","20","6.52","false","true","true","","","2512336275.956709","-11266897.433062553"
