行号,技能,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
1,龙牙,0,0,1.2175,5,5,2,0,1,0,0,0,0,0,0,0,,[],8150747.729742905,"{""autoAttack"":200684.40871821836,""dragonFang"":4526273.727421053,""dragonFangStrain"":350256.68238678254,""breakGang"":1756238.1099026103,""breakArmy"":1261941.8485917535,""dragonFangDivine"":55352.95272248696}"
2,灭·正常,1.2175,1.2175,2.435,2,2,5,1,1,0,0,0,0,0,1,2,normal,[],4991784.960895907,"{""destroy"":1944182.7617787733,""breakArmy"":630970.9242958768,""destroyPoLouLan"":1865690.183716256,""destroyStrain"":350256.68238678254,""autoAttack"":200684.40871821836}"
3,任驰骋→雷+CW,2.435,2.435,3.6525,5,5,5,1,7,0,1,0,0,0,1,2,,"[{""action"":""thunder"",""seconds"":3.59,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":7,""chargeReadyAtStart"":true},{""action"":""orange"",""seconds"":3.59,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",771884.2476176711,"{""bleedTick"":571199.8388994528,""autoAttack"":200684.40871821836}"
4,龙牙,3.6525,3.6525,4.87,5,5,5,7,6,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":1123466.1548680456}"
5,龙牙,4.87,4.87,6.0875,5,5,5,6,5,1,1,1,1,1,1,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
6,龙牙,6.0875,6.0875,7.305,5,5,5,5,4,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
7,龙牙,7.305,7.305,8.5225,5,5,5,4,3,1,1,1,1,1,1,2,,[],29832864.5312048,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":1123466.1548680456}"
8,龙牙,8.5225,8.5225,9.74,5,5,5,3,2,1,1,1,1,1,1,2,,[],30190831.179276675,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":1123466.1548680456}"
9,龙牙,9.74,9.74,10.9575,5,5,4,2,1,1,1,1,0,1,1,2,,[],22422163.449968018,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
10,龙牙,10.9575,10.9575,12.175,4,4,3,1,0,1,1,1,0,1,1,2,,[],22991722.189096496,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
11,龙牙,12.175,12.175,13.3925,3,3,2,0,0,1,1,1,0,1,1,2,,[],18753598.84201994,"{""dragonFang"":8183594.6067008,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
12,断魂刺→龙牙,13.3925,13.3925,14.61,2,5,4,0,0,1,1,1,0,1,1,2,,"[{""action"":""charge"",""seconds"":13.3925,""rageBefore"":2,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",22235750.04189263,"{""charge"":273929.6832460043,""breakArmy"":4765863.151709089,""dragonFang"":8811155.318379693,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""dragonFangDivine"":108881.35399991347,""bleedTick"":1123466.1548680456,""autoAttack"":357966.6480718725}"
13,龙牙,14.61,14.61,15.8275,4,4,3,0,0,1,1,1,0,1,0,0,,[],18042777.657537963,"{""dragonFang"":8497374.962540247,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725}"
14,龙牙,15.8275,15.8275,17.045,3,3,2,0,0,1,1,1,0,1,0,0,,[],14693712.954492174,"{""dragonFang"":8183594.6067008,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347}"
15,灭·正常,17.045,17.045,18.2625,2,2,5,0,0,1,1,1,0,0,1,2,normal,[],9530989.638717063,"{""destroy"":3771466.384845193,""breakArmy"":1191465.7879272723,""destroyPoLouLan"":3645454.658075708,""destroyStrain"":564636.1597970189,""autoAttack"":357966.6480718725}"
16,龙牙,18.2625,18.2625,19.48,5,5,4,0,0,1,1,1,0,0,1,2,,[],16330791.263972985,"{""dragonFang"":7256702.421491029,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":920810.6503924152,""autoAttack"":323516.0942473035}"
17,龙牙,19.48,19.48,20.6975,4,4,3,0,0,1,1,1,0,0,1,2,,[],15990090.533359127,"{""dragonFang"":6998278.799870527,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":920810.6503924152}"
18,龙牙,20.6975,20.6975,21.915,3,3,2,0,0,1,1,1,0,0,1,2,,[],14728579.152352858,"{""dragonFang"":6739855.178250027,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
19,任驰骋（前置）,21.915,21.915,23.1325,2,2,2,0,6,1,1,0,0,0,1,2,,"[{""action"":""dismount"",""seconds"":21.915,""rageBefore"":null,""rageAfter"":null,""mounted"":null,""thunder"":null,""orange"":null,""reason"":""thunder-ended"",""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null}]",793254.7115520367,"{""bleedTick"":571199.8388994528,""autoAttack"":222054.87265258387}"
20,灭·破楼兰,23.1325,23.1325,24.35,2,2,5,6,6,1,1,0,0,0,2,2,poLouLanBonus,[],7103166.079785963,"{""destroy"":2349242.6237770272,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2270750.04571451,""destroyStrain"":350256.68238678254,""bleedTick"":1393823.3368524497}"
21,雷→龙牙,24.35,24.35,25.5675,5,5,4,6,5,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":24.35,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""reason"":null,""dragonRideStacksAtStart"":6,""chargeReadyAtStart"":true}]",24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
